Average Speed,Average Throttle,Average Break,Average Steering,Average Deviation, , 
9.47194,0.3518519,0,0.01409925,1.433142

Distance Along Path,Time,Speed,Throttle Input,Break Input,Steering Steer Wheel Input,Deviation From Path
0,0,1.502353E-07,0,0,0,0
0.02112051,0.107682,0.4446541,1,0,0.01109731,0.001075623
0.08179491,0.2018814,0.8965729,1,0,0.0223467,0.004144689
0.1888211,0.30054,1.35807,1,0,0.03333946,0.009238759
0.3429221,0.4000941,1.831819,1,0,0.04320596,0.01582727
0.5501813,0.5020461,2.321344,1,0,0.05127167,0.02332379
0.7979149,0.6000326,2.831378,1,0,0.05597916,0.03042282
1.108238,0.701803,3.368001,1,0,0.05730996,0.03683903
1.462759,0.800348,3.937941,1,0,0.05478103,0.04143069
1.903487,0.9053601,4.546975,1,0,0.04878214,0.04401099
2.393972,1.006645,5.196113,1,0,0.03989495,0.0439935
2.906215,1.100007,5.877744,1,0,0.02984035,0.04186145
3.553005,1.204716,6.576696,1,0,0.0195944,0.03740883
4.244062,1.304973,7.277591,1,0,0.01067839,0.0316925
4.990259,1.40333,7.976387,1,0,0.003789289,0.02535605
5.853694,1.507434,8.673297,1,0,-0.001568002,0.01850183
6.689087,1.600513,9.368558,1,0,-0.004044299,0.01269423
7.712115,1.706297,10.0622,0,0,-0.005322897,0.006849101
8.684786,1.803041,10.04688,0,0,-0.004685067,0.002540211
9.712653,1.905425,10.03204,0,0,-0.004203169,0.0009860591
10.71728,2.005636,10.01747,0,0,-0.003445849,0.00357617
11.66079,2.105198,9.945585,1,0,1,0.2317429
12.63516,2.207095,9.932491,1,0,0.9120166,0.4896097
13.63643,2.304909,10.24416,0,0,0.5213487,0.5362339
14.69126,2.40695,10.33056,0,0,0.272558,0.5014725
15.66164,2.500819,10.34744,0,0,0.1241849,0.4333811
16.75975,2.607249,10.33821,0,0,0.03292819,0.3445797
17.72976,2.701441,10.32006,0,0,-0.01042929,0.2690315
18.76651,2.80226,10.30167,0,0,-0.03557532,0.1968699
19.83743,2.906521,10.28521,0,0,-0.0469432,0.1324682
20.81195,3.001475,10.27014,0,0,-0.0437208,0.08261013
21.90869,3.108421,10.25585,0,0,-0.04444648,0.03611565
22.88836,3.204041,10.24096,0,0,-0.03708711,0.003070831
23.90463,3.303351,10.2254,0,0,-0.03082046,0.02294636
24.95177,3.405831,10.2093,0,0,-0.02530172,0.04177761
25.96292,3.504951,10.19305,0,0,-0.01961853,0.05386543
26.97723,3.604543,10.17707,0,0,-0.01484257,0.0618267
28.01308,3.70641,10.16159,0,0,-0.01128489,0.06725597
29.0162,3.805201,10.1465,0,0,-0.008450859,0.0709343
29.97949,3.900199,10.13156,0,0,-0.006046741,0.07342052
31.0203,4.002986,10.11655,0,0,-0.004619592,0.07499504
32.00655,4.100529,10.10134,0,0,-0.003281,0.07542133
33.06614,4.205491,10.08597,0,0,-0.00232152,0.07483292
34.08524,4.306602,10.07057,0,0,-0.001514491,0.0735569
35.09785,4.407228,10.05529,0,0,-0.0009409194,0.07196999
36.09522,4.506491,10.04019,0,0,-0.0005604499,0.07037735
37.08357,4.605,10.02527,0,0,-0.0003248444,0.06889153
38.08619,4.705076,10.01043,0,0,-0.0001845104,0.06746483
39.09631,4.805965,10.13725,0,0,3.606081E-06,0.06602287
40.05688,4.900781,10.12191,0,0,5.441858E-05,0.06457996
41.24322,5.006924,10.10654,0,0,0.0001093927,0.04978752
41.32771,5.106765,9.700796,1,0,1,0.938549
41.67022,5.204413,9.965567,1,0,1,1.857513
42.19927,5.302453,9.973186,1,0,1,2.702644
42.91691,5.404328,9.983741,1,0,1,3.447895
43.73701,5.502165,9.975985,1,0,1,4.009651
44.67599,5.602533,9.972281,1,0,1,4.404509
45.68129,5.703574,9.97005,1,0,1,4.598442
46.18034,5.802361,9.966957,1,0,1,0.5071359
46.18034,5.901664,9.96116,1,0,1,1.490973
46.18034,6.003223,9.964688,1,0,1,2.429172
46.18034,6.10248,9.956787,1,0,1,3.241623
46.18034,6.202852,9.952232,1,0,1,3.923065
46.18034,6.306979,9.963839,1,0,1,4.449287
46.18034,6.400823,9.940804,1,0,1,4.74805
46.42566,6.50028,9.939503,1,0,1,4.866917
47.44534,6.600893,9.942093,1,0,1,4.776584
48.42364,6.701383,9.942145,1,0,1,4.479626
49.3191,6.802124,9.940314,1,0,1,3.988371
50.13545,6.906902,10.21465,0,0,0.2983738,3.29924
50.90923,7.006786,10.30011,0,0,-0.1468796,2.62125
51.72736,7.10654,10.21799,0,0,-0.3805224,2.005686
52.56455,7.202325,10.1364,0,0,-0.4428305,1.501747
53.50557,7.304365,10.09742,0,0,-0.4470908,1.067505
54.47601,7.405727,10.07485,0,0,-0.3911509,0.7318876
55.41371,7.501542,10.06262,0,0,-0.3161047,0.4892313
56.41979,7.603095,10.05896,0,0,-0.2621697,0.2979188
57.40549,7.701973,10.04783,0,0,-0.1991538,0.1624453
58.41968,7.803409,10.03847,0,0,-0.1524446,0.06443286
59.41551,7.902879,10.02897,0,0,-0.1135359,0.001430035
60.45956,8.007124,10.01899,0,0,-0.0827474,0.04716206
61.47628,8.108664,10.00763,0,0,-0.0589968,0.07560635
62.43674,8.204323,10.13589,0,0,-0.04150863,0.09247351
63.42063,8.301428,10.12049,0,0,-0.02773033,0.1029038
64.44419,8.402623,10.10419,0,0,-0.01873876,0.1086488
65.47093,8.50432,10.08788,0,0,-0.01239171,0.1108861
66.45753,8.602206,10.07221,0,0,-0.007748508,0.1108055
67.46811,8.702621,10.05736,0,0,-0.004725561,0.109292
68.48105,8.803406,10.04299,0,0,-0.002682376,0.1069613
69.52229,8.907146,10.02865,0,0,-0.001340501,0.1041698
70.52477,9.007166,10.01398,0,0,-0.0005205693,0.101368
71.18034,9.101155,9.998942,1,0,-1,0.285109
71.22772,9.207256,9.839628,1,0,-1,1.326101
71.5984,9.300381,9.988887,1,0,-1,2.196805
72.17851,9.400791,9.998633,1,0,-1,3.038165
72.9567,9.505561,10.02525,0,0,-1,3.769614
79.69629,9.600011,10.26581,0,0,-0.2704628,3.430037
80.51189,9.708173,10.33967,0,0,0.215326,2.66236
81.31615,9.807557,10.23644,0,0,0.4242117,2.030415
82.1273,9.901013,10.13964,0,0,0.4579126,1.526913
83.0881,10.00552,10.10513,0,0,0.469108,1.073841
84.05699,10.10678,10.08998,0,0,0.4151368,0.7346786
85.01163,10.20429,10.08217,0,0,0.3429043,0.485758
85.98091,10.30206,10.0701,0,0,0.2627299,0.2983725
86.96523,10.4007,10.06196,0,0,0.2043195,0.1606265
87.98875,10.50293,10.05297,0,0,0.1571484,0.06073869
88.97152,10.60095,10.04251,0,0,0.1120806,0.004069995
90.02279,10.70576,10.03279,0,0,0.08275756,0.04888521
90.97281,10.80051,10.02112,0,0,0.05704559,0.07469587
91.70452,10.90593,9.959476,1,0,-1,0.2701283
91.70452,11.00016,9.927832,1,0,-1,0.9709244
91.70452,11.10233,9.982955,1,0,-1,1.897162
