Average Speed,Average Throttle,Average Break,Average Steering,Average Deviation, , 
9.354525,0.326087,0,0.03642063,1.0061

Distance Along Path,Time,Speed,Throttle Input,Break Input,Steering Steer Wheel Input,Deviation From Path
0,0,1.502353E-07,0,0,0,0
0.01738697,0.1001597,0.439025,1,0,0.01215465,0.002065521
0.08065639,0.2017014,0.8908269,1,0,0.02357095,0.005343143
0.1927656,0.3046025,1.352173,1,0,0.03495467,0.01075197
0.3503565,0.4053393,1.825734,1,0,0.04507858,0.01751278
0.5602871,0.5076086,2.315011,1,0,0.05310767,0.02507669
0.8095515,0.6053569,2.824759,1,0,0.05778527,0.03213222
1.118481,0.7060681,3.361023,1,0,0.05896221,0.03841621
1.481126,0.8062425,3.930536,1,0,0.0561747,0.04294517
1.890052,0.9036319,4.539031,1,0,0.04970307,0.04523503
2.384653,1.006086,5.187735,1,0,0.04063043,0.04513566
2.920583,1.103683,5.869084,1,0,0.0302313,0.04272766
3.523381,1.201443,6.567913,1,0,0.02012531,0.0383983
4.248434,1.306813,7.268836,1,0,0.01082777,0.03221624
4.955082,1.400154,7.967649,1,0,0.004037714,0.02602735
5.829344,1.505893,8.651702,1,0,0.1481262,0.01407821
6.732072,1.606742,9.327541,1,0,0.2361156,0.04367917
7.661331,1.703807,10.0107,0,0,0.2496313,0.1567079
8.634102,1.802388,10.00276,0,0,0.184215,0.3259113
9.619038,1.902681,10.1355,0,0,0.1485947,0.5338665
10.64511,2.006813,10.12374,0,0,0.1041017,0.7802661
11.98184,2.10091,10.10934,0,0,0.1133573,0.7384853
12.96936,2.200401,10.08651,0,0,0.1304724,0.5520296
14.01251,2.305114,10.06818,0,0,0.1386192,0.3903923
15.02056,2.406035,10.05221,0,0,0.1279398,0.2671242
16.01101,2.505052,10.03705,0,0,0.1059525,0.1734438
16.96424,2.600303,10.0231,0,0,0.08577119,0.1046295
17.96189,2.70002,10.00926,0,0,0.07005198,0.05038548
18.9909,2.802915,10.13659,0,0,0.05763975,0.00915432
19.98229,2.900812,10.12144,0,0,0.04342242,0.01966
21.00211,3.001652,10.10625,0,0,0.03326169,0.04062843
22.05665,3.106079,10.09109,0,0,0.02505099,0.05516815
23.08436,3.208001,10.07604,0,0,0.01824055,0.06411552
24.04426,3.303333,10.06109,0,0,0.01262879,0.06910992
25.02888,3.401258,10.04618,0,0,0.008929314,0.07188129
26.06809,3.504765,10.03123,0,0,0.006190423,0.07312393
27.09274,3.606979,10.01624,0,0,0.004217424,0.07327747
28.03792,3.701406,10.00125,0,0,0.002753582,0.07281494
29.03792,3.800596,10.12762,0,0,0.001816874,0.07187939
30.10828,3.906354,10.11223,0,0,0.001108272,0.07051563
31.0625,4.000781,10.09694,0,0,0.0006152503,0.06906605
32.1169,4.105278,10.08175,0,0,0.0002811928,0.06731319
33.09562,4.202421,10.06665,0,0,7.072836E-05,0.0656414
34.1356,4.305801,10.0479,0,0,0.1869568,0.06324673
35.17145,4.409276,10.09299,0,0,0.4595283,0.004926682
36.08057,4.500981,9.9653,1,0,0.5435593,0.1537762
37.08483,4.605851,10.09279,0,0,0.7492271,0.4885149
37.93633,4.701348,10.07935,0,0,0.7567526,0.9442339
38.76917,4.806077,9.991411,1,0,0.7608675,1.602351
43.51773,4.903014,9.976551,1,0,1,1.764288
44.3895,5.00126,9.972775,1,0,1,1.280708
47.15923,5.101346,9.970901,1,0,1,0.8215237
47.0635,5.204292,9.984304,1,0,1,0.2209198
47.17492,5.30132,9.967099,1,0,1,1.198501
47.51744,5.407439,9.990818,1,0,1,2.221026
48.00586,5.502719,9.968523,1,0,1,3.057166
48.66758,5.600682,9.956346,1,0,1,3.800144
49.49432,5.702003,9.958831,1,0,1,4.411891
50.41448,5.801437,9.956727,1,0,1,4.834197
51.45831,5.906799,9.974606,1,0,0.9816982,5.065953
52.41822,6.001091,10.07749,0,0,0.830125,5.088099
53.42715,6.100829,9.936366,1,0,1,4.958082
54.38708,6.201173,9.986333,1,0,1,4.620711
55.26883,6.303066,9.991478,1,0,1,4.079706
56.01517,6.402735,10.28377,0,0,0.2736133,3.390813
56.764,6.501585,10.34108,0,0,-0.1617025,2.693514
57.58235,6.602683,10.24652,0,0,-0.3962984,2.048519
58.45058,6.702406,10.16457,0,0,-0.4690147,1.511307
59.4218,6.807559,10.12962,0,0,-0.4777192,1.058291
60.32653,6.901842,10.09967,0,0,-0.3893888,0.7425499
