Average Speed,Average Throttle,Average Break,Average Steering,Average Deviation, , 
9.363155,0.3768116,0,0.03765887,1.007042

Distance Along Path,Time,Speed,Throttle Input,Break Input,Steering Steer Wheel Input,Deviation From Path
100.267,10.30379,9.951731,1,0,-1,4.942485
101.2376,10.40175,9.94066,1,0,-1,4.73361
102.1993,10.50546,9.957864,1,0,-1,4.302345
103.0438,10.60893,9.97143,1,0,-1,3.679648
103.6934,10.70093,10.29036,0,0,-0.3011194,2.996974
104.4202,10.80265,10.32652,0,0,0.1331674,2.236973
105.1693,10.9012,10.25817,0,0,0.3111496,1.551822
106.0012,11.00325,10.20016,0,0,0.3685075,0.9178826
106.849,11.10132,10.17454,0,0,0.3477274,0.3845094
107.7386,11.20013,10.15663,0,0,0.2856849,0.08792166
108.8289,11.30334,10.16034,0,0,0.1876893,0.1782236
109.8791,11.4067,10.15336,0,0,0.1118516,0.1974411
110.8791,11.50526,10.14033,0,0,0.0630191,0.1987858
111.865,11.60258,10.12622,0,0,0.03251746,0.1907167
112.9025,11.70513,10.11243,0,0,0.01362552,0.1766052
113.8948,11.80333,10.09872,0,0,0.002274729,0.1606932
114.8759,11.90053,10.08453,0,0,-0.003360581,0.1447821
115.92,12.00412,10.0656,0,0,-0.1895667,0.1307087
116.9249,12.10433,9.988305,1,0,-0.4038446,0.1715527
117.8846,12.20107,9.99744,1,0,-0.6873866,0.3259974
118.8624,12.30528,9.953015,1,0,-1,0.7045488
119.6933,12.40417,9.96603,1,0,-1,1.26921
125.9265,12.50253,10.09133,0,0,1,0.3375723
125.5848,12.60691,10.11909,0,0,0.5332891,0.6441812
132.2101,12.70445,9.9558,1,0,1,0.3078927
133.1431,12.8022,9.95712,1,0,0.9457463,0.03594014
134.2126,12.9076,10.2331,0,0,0.5893366,0.2103159
135.2266,13.0058,10.30437,0,0,0.3534099,0.2783568
136.2401,13.10382,10.31751,0,0,0.2019042,0.2954045
137.3025,13.20689,10.30601,0,0,0.1045621,0.2836367
138.3021,13.30416,10.28998,0,0,0.04695747,0.2579925
139.3187,13.40322,10.2779,0,0,0.01370843,0.2252591
140.3688,13.50555,10.26888,0,0,-0.005367801,0.1893464
141.4089,13.60689,10.25913,0,0,-0.01672589,0.1550886
142.4071,13.70419,10.24607,0,0,-0.02021238,0.1258703
