Average Speed,Average Throttle,Average Break,Average Steering,Average Deviation, , 
8.630758,0.2898551,0,0.03112188,1.114301

Distance Along Path,Time,Speed,Throttle Input,Break Input,Steering Steer Wheel Input,Deviation From Path
0,0,1.502353E-07,0,0,0,0
0.0178994,0.10133,0.4390214,1,0,0.01217155,0.002093243
0.08373995,0.2051655,0.890824,1,0,0.02371052,0.005496682
0.1937819,0.3053579,1.352171,1,0,0.03500333,0.0107976
0.3462078,0.4030694,1.825722,1,0,0.04486063,0.01734901
0.5448379,0.5009384,2.314996,1,0,0.05264552,0.02457428
0.8102382,0.6056021,2.82476,1,0,0.05785443,0.0321578
1.102654,0.7013609,3.360981,1,0,0.05863428,0.03816544
1.473699,0.8043779,3.923533,1,0,0.1407966,0.04059518
1.888612,0.9035355,4.520854,1,0,0.1878061,0.02646749
2.359666,1.001954,5.160871,1,0,0.2071374,0.009486127
2.924782,1.105916,5.842268,1,0,0.2007944,0.07592484
3.541402,1.206812,6.548191,1,0,0.1750808,0.1702756
4.181167,1.301424,7.258126,1,0,0.1414219,0.2848708
4.950792,1.40501,7.963918,1,0,0.09415249,0.4358522
5.757022,1.504441,8.664778,1,0,0.05383583,0.602262
6.638925,1.604821,9.361217,1,0,0.01395392,0.7865863
7.552594,1.701429,10.05488,0,0,-0.002095994,0.9754699
8.538361,1.801479,10.03704,0,0,-0.05698197,1.172028
9.53793,1.902737,10.02065,0,0,-0.09103986,1.351826
10.52787,2.002821,10.00466,0,0,-0.08371971,1.508676
12.22553,2.102844,10.1271,0,0,0.1328037,1.321114
13.20766,2.203975,10.07283,0,0,0.2398497,1.03849
14.16012,2.30077,10.0273,0,0,0.2740814,0.8328171
15.19074,2.404495,10.00045,0,0,0.2963144,0.6871214
16.21435,2.506356,10.10893,0,0,0.2848239,0.6167097
17.19988,2.603662,10.11239,0,0,0.194548,0.6104383
18.23703,2.706208,10.10657,0,0,0.1394854,0.6397572
19.24701,2.80631,10.09427,0,0,0.1086804,0.6932755
20.20372,2.901386,10.07926,0,0,0.08199545,0.7619123
21.20591,3.00128,10.06385,0,0,0.08046969,0.8519926
22.2663,3.107357,10.04789,0,0,0.1047375,0.9692249
23.22718,3.203923,10.02933,0,0,0.1256543,1.099556
24.20369,3.302719,10.00743,0,0,0.1800802,1.264127
25.21864,3.405984,10.081,0,0,0.3175768,1.48555
26.18292,3.506369,10.00687,0,0,0.4124956,1.789848
27.0886,3.605032,9.88485,1,0,0.293597,2.197404
59.4597,3.701923,9.894165,1,0,1,2.254349
58.7678,3.801641,10.00622,0,0,1,1.518341
58.23243,3.90308,10.01517,0,0,1,0.6373029
57.88434,4.007524,10.03273,0,0,1,0.365665
57.75868,4.102503,10.01027,0,0,1,1.322581
57.83427,4.204653,10.01461,0,0,1,2.356977
58.1222,4.306254,10.01724,0,0,1,3.34676
58.59596,4.405167,10.02038,0,0,1,4.23437
59.2419,4.504739,10.00662,0,0,1,5.010723
128.5169,4.601235,10.20202,0,0,-1,5.210539
128.5169,4.701479,9.818168,1,0,-1,4.361531
128.5169,4.800556,10.00731,0,0,-1,3.40092
128.5169,4.903765,10.03183,0,0,-1,2.352406
128.5169,5.003591,10.03852,0,0,-1,1.346069
128.5169,5.104241,10.04675,0,0,-1,0.3816302
128.5169,5.202284,10.03487,0,0,-1,0.468806
128.3675,5.302566,10.03203,0,0,-1,1.300238
127.3762,5.400645,10.02396,0,0,-1,1.39864
126.3224,5.505021,10.04124,0,0,-1,1.280811
125.3491,5.605748,10.04758,0,0,-1,0.9578664
124.4706,5.705722,10.02966,0,0,-0.6162043,0.4518122
123.6897,5.801021,10.28988,0,0,-0.2715866,0.1381142
122.8778,5.901216,10.32882,0,0,-0.06715834,0.7784516
122.86,6.009105,10.31541,0,0,-0.08494061,1.470729
135.8516,6.102115,9.95665,1,0,-0.2464008,1.670982
136.8168,6.201974,10.21157,0,0,-0.04175482,1.349896
137.8326,6.306186,10.19854,0,0,0.112993,1.031319
138.8119,6.405761,10.16812,0,0,0.1758967,0.7655966
139.7859,6.503956,10.14016,0,0,0.1838413,0.548797
140.8079,6.606287,10.12183,0,0,0.1802782,0.3706928
141.812,6.70639,10.10693,0,0,0.1584476,0.237135
142.8113,6.805799,10.09327,0,0,0.1307827,0.136434
