Average Speed,Average Throttle,Average Break,Average Steering,Average Deviation, , 
8.722198,0.3918919,0,0.0425941,1.071393

Distance Along Path,Time,Speed,Throttle Input,Break Input,Steering Steer Wheel Input,Deviation From Path
0,0,1.502353E-07,0,0,0,0
0.01957937,0.1051663,0.4390287,1,0,0.0122639,0.002185366
0.08939486,0.2115176,0.8908326,1,0,0.02399264,0.005786273
0.192875,0.3046876,1.352175,1,0,0.0349456,0.01076561
0.3412869,0.4003748,1.825732,1,0,0.04474076,0.01716306
0.5475088,0.5020915,2.315008,1,0,0.05278979,0.02467834
0.805213,0.6038215,2.824751,1,0,0.057676,0.03204862
1.112379,0.7042535,3.361017,1,0,0.05887143,0.03832921
1.45906,0.800628,3.930506,1,0,0.0560425,0.04276007
1.876958,0.9007473,4.539014,1,0,0.04967527,0.04521754
2.369068,1.003099,5.179987,1,0,0.1290164,0.04315586
2.900183,1.100439,5.848907,1,0,0.1753461,0.01973099
3.541513,1.204994,6.543,1,0,0.1921865,0.03675544
4.227051,1.305543,7.247049,1,0,0.1813373,0.1247808
4.959671,1.403552,7.952658,1,0,0.1535865,0.2423159
5.76632,1.502827,8.655894,1,0,0.1154847,0.3910368
6.645398,1.602915,9.355571,1,0,0.07568504,0.5675064
7.613657,1.7053,10.05132,0,0,0.03900871,0.7708619
8.59663,1.805332,10.03626,0,0,-0.02474361,0.9784828
9.544962,1.901764,10.01979,0,0,-0.05266391,1.167747
10.55671,2.004498,10.00436,0,0,-0.06816464,1.353753
12.19976,2.105591,10.12815,0,0,0.05231335,1.189312
13.16088,2.204596,10.10076,0,0,0.1379839,0.9074383
14.10414,2.300925,10.07328,0,0,0.1753781,0.6722336
15.08932,2.400764,10.05116,0,0,0.181361,0.4719248
16.09565,2.502151,10.03427,0,0,0.1680503,0.3118753
17.08391,2.601369,10.02001,0,0,0.144013,0.1918459
18.0876,2.701974,10.00644,0,0,0.1186616,0.1002121
19.08003,2.801115,10.13428,0,0,0.09642166,0.03330517
20.14544,2.90642,10.12,0,0,0.07392818,0.01800919
21.15084,3.005885,10.10549,0,0,0.07721455,0.05160713
22.15829,3.105687,10.07893,0,0,0.1473058,0.06448269
23.18267,3.207432,10.05539,0,0,0.1826493,0.03460026
24.16645,3.305568,10.03335,0,0,0.1864991,0.03765202
25.16579,3.40586,10.01419,0,0,0.1846343,0.1548567
26.14425,3.504817,9.996907,1,0,0.1820957,0.3117399
27.09144,3.600314,10.12691,0,0,0.1254165,0.5015221
28.10844,3.703251,10.11427,0,0,0.1043285,0.7293615
29.0686,3.801108,10.09585,0,0,0.1284324,0.9670773
30.04148,3.901329,10.06811,0,0,0.2034445,1.241905
30.99549,4.001668,10.01665,0,0,0.331205,1.570042
31.91506,4.10209,9.986577,1,0,0.5236534,1.986141
54.61099,4.202275,9.886015,1,0,1,2.450561
53.91938,4.301691,9.991734,1,0,1,1.718049
53.38743,4.402834,9.998513,1,0,1,0.8400121
53.05076,4.502651,10.00951,0,0,1,0.1190934
52.91547,4.603317,10.00023,0,0,1,1.132113
52.98632,4.70128,9.98781,1,0,1,2.12324
53.27303,4.803934,9.994674,1,0,1,3.123289
53.76323,4.906264,10.01073,0,0,1,4.039876
54.38571,5.002069,9.991647,1,0,1,4.788063
55.1976,5.104343,10.03077,0,0,0.917601,5.435899
56.05522,5.200341,10.01629,0,0,0.7965219,5.900656
130.2441,5.305311,10.03767,0,0,-1,5.382054
129.6476,5.404412,9.863936,1,0,-1,4.610346
129.2434,5.504076,10.04657,0,0,-1,3.685058
129.0337,5.604922,10.06843,0,0,-1,2.678146
129.028,5.700621,10.06026,0,0,-1,1.700296
129.2455,5.807224,9.955409,1,0,-1,0.6343805
129.6205,5.900432,10.05322,0,0,-1,0.2365326
126.4278,6.010264,9.960098,1,0,-1,0.1502613
125.5407,6.10004,10.05042,0,0,-1,0.3648329
124.4731,6.204972,9.938501,1,0,-1,0.4036198
123.4833,6.303937,9.927068,1,0,-1,0.2332906
122.86,6.405798,10.05645,0,0,-1,0.1457458
122.86,6.503995,10.0448,0,0,-0.6948917,0.6933271
122.86,6.604054,10.25985,0,0,-0.4252241,1.37988
136.7949,6.704096,10.13552,0,0,-0.2787969,2.153659
137.732,6.803488,10.28573,0,0,-0.03890101,1.745568
138.7068,6.905813,10.27111,0,0,0.1476738,1.347974
139.6635,7.004627,10.23021,0,0,0.2206693,1.012693
140.629,7.102768,10.20249,0,0,0.2462538,0.737681
141.6134,7.201671,10.1799,0,0,0.2286983,0.5157994
142.6307,7.303085,10.16324,0,0,0.2002918,0.3388696
